Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
220000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,D,74.0,0.0,False,1989.0,0,True,0,1.0,1.8,0.20000000000000207,74.0,1.0
450000.0,Faro,Albufeira,Albufeira e Olhos de Água,House,C,116.0,2.0,True,2002.0,0,False,0,2.9999999999999996,2.8000000000000003,1.0,116.0,3.0
189000.0,Faro,Silves,Armação de Pêra,Apartment,D,65.0,1.0,True,1985.0,0,True,0,1.0,1.5999999999999999,0.4000000000000021,65.0,1.0
380000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,85.0,1.0,True,2021.0,0,False,0,2.0,2.1999999999999997,0.20000000000000207,85.0,0.0
425000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,123.0,1.0,True,2021.0,0,False,0,2.9999999999999996,2.4,0.20000000000000207,123.0,0.0
635000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,93.0,1.0,True,2022.0,0,True,0,2.0,2.0,1.6,74.0,2.0
285000.0,Faro,Olhão,Moncarapacho e Fuseta,Apartment,A,120.0,1.0,True,Informação não disponível,0,False,0,2.0,1.0,0.4000000000000021,75.0,2.0
214500.0,Faro,Olhão,Olhão,House,D,123.0,1.0,True,1979.0,0,True,0,2.9999999999999996,1.8,0.7999999999999979,78.0,2.0
285000.0,Faro,Olhão,Moncarapacho e Fuseta,Apartment,A,123.0,1.0,True,Informação não disponível,0,True,0,2.0,1.4000000000000001,0.4,78.0,2.0
135000.0,Faro,Olhão,Olhão,House,E,95.0,0.0,False,1951.0,0,False,0,2.0,2.4,0.0,50.0,1.0
795000.0,Faro,Silves,Silves,House,B-,274.0,2.0,True,2002.0,0,False,0,2.9999999999999996,3.4000000000000004,0.20000000000000207,114.0,3.0
325000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,82.0,1.0,True,Informação não disponível,0,True,0,2.0,1.8,0.20000000000000207,82.0,2.0
569000.0,Faro,Loulé,Quarteira,House,F,318.0,1.0,True,1985.0,0,False,0,2.9999999999999996,2.6,1.0,100.0,2.0
255000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,62.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,62.0,1.0
229000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,63.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4,63.0,1.0
255000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,63.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4,63.0,1.0
305000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,73.0,1.0,True,Informação não disponível,0,True,0,2.0,1.8,0.6,73.0,1.0
258000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,62.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,62.0,1.0
252000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,61.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,61.0,1.0
265000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,63.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4,63.0,1.0
316000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,73.0,2.0,True,Informação não disponível,0,True,0,2.0,1.8,0.6,73.0,1.0
268000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,62.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,62.0,1.0
262000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,61.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,61.0,1.0
276000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,63.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4,63.0,1.0
326000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,73.0,2.0,True,Informação não disponível,0,True,0,2.0,1.8,0.6,73.0,1.0
279000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,B,62.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,62.0,1.0
272000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,61.0,1.0,True,Informação não disponível,0,True,0,1.0,0.7999999999999999,0.4000000000000021,61.0,1.0
